Date,Project-Station,Conductive Layer Depth,Layer Depth,Tied Layer Depth (EW),Tied Layer Depth (NN),Lat,Lon,Easting,Northing,Elevation (m from DEM),Elevation (from ABEM),Difference,,,,,,,,,,,,,,,,,,
19-May,17-3,5,30,27,28,39.75189955,-105.1824488,484370,4400237,1877.269531,1856.55,20.719531,,,,,,,,,,,,,,,,,,
19-May,17-4,0,25,26,22,39.75189955,-105.1824488,484370,4400237,1877.269531,1858.09,19.179531,,,,,,,,,,,,,,,,,,
20-May,19-1,8,35,40,36,39.75075334,-105.1864904,484023.5,4400110.5,1865.958984,1869.31,-3.351016,,,,,,,,,,,,,,,,,,
20-May,19-2,10,35,39,38,39.75075334,-105.1864904,484023.5,4400110.5,1865.958984,1869.28,-3.321016,,,,,,,,,,,,,,,,,,
21-May,20-1,0,42,42,45,39.75047245,-105.1902366,483702.5,4400080,1875.52356,1879.77,-4.24644,,,,,,,,,,,,,,,,,,
21-May,21-1,0,42,42,44,39.75052819,-105.1892125,483790.25,4400086,1874.541016,1878.68,-4.138984,,,,,,,,,,,,,,,,,,
21-May,22-1,0,41,36,40,39.75001171,-105.189608,483756.25,4400028.75,1874.182739,1878.03,-3.847261,,,,,,,,,,,,,,,,,,
22-May,24-1,18,46,45,50,39.75273604,-105.1926446,483496.75,4400331.667,1880.291138,1887.47,-7.178862,,,,,,,,,,,,,,,,,,
22-May,24-2,20,45,48,47,39.75273604,-105.1926446,483496.75,4400331.667,1880.291138,1887.62,-7.328862,,,,,,,,,,,,,,,,,,
22-May,25-1,0,45,48,51,39.75346171,-105.19424,483360.25,4400412.5,1883.825684,1886.76,-2.934316,,,,,,,,,,,,,,,,,,
22-May,26-1,12,41,48,42,39.75386921,-105.1957033,483235,4400458,1886.252075,1888.32,-2.067925,,,,,,,,,,,,,,,,,,
22-May,27-1,10,49,50,45,39.75513015,-105.1959928,483210.5,4400598,1887.829712,1889.35,-1.520288,,,,,,,,,,,,,,,,,,
22-May,28-1,18,42,42,41,39.75512889,-105.198059,483033.5,4400598.25,1890.72644,1895.32,-4.59356,,,,,,,,,,,,,,,,,,
23-May,29-1,20,45,45,45,39.75069793,-105.1900972,483714.5,4400105,1875.000488,1879.47,-4.469512,,,,,,,,,,,,,,,,,,
23-May,30-1,0,41,40,40,39.75069793,-105.1900972,483714.5,4400105,1875.000488,1879.7,-4.699512,,,,,,,,,,,,,,,,,,
23-May,31-1,22,42,43,43,39.7500208,-105.1895584,483760.5,4400029.75,1874.247314,1880.08,-5.832686,,,,,,,,,,,,,,,,,,
23-May,32-1,0,30,25,25,39.74807406,-105.1898886,483731.75,4399813.75,1857.744995,1861.03,-3.285005,,,,,,,,,,,,,,,,,,
23-May,34-1,0,15,15,27,39.74635832,-105.1894608,483768,4399623.25,1846.471924,1850.92,-4.448076,,,,,,,,,,,,,,,,,,
24-May,41-1,13,47,35,48,39.75603853,-105.1969643,483127.5,4400699,1892.373413,1897.13,-4.756587,,,,,,,,,,,,,,,,,,
24-May,42-1,6,44,58,49,39.75702929,-105.1984993,482996.25,4400809.25,1898.438721,1901.31,-2.871279,,,,,,,,,,,,,,,,,,
24-May,43-1,0,67,45,48,39.75777778,-105.1977778,483058,4400892,1904.690308,1909.35,-4.659692,,,,,,,,,,,,,,,,,,
26-May,43-3,18,43,45,40,39.75214812,-105.1957918,483227,4400267,1878.480957,1887.13,-8.649043,,,,,,,,,,,,,,,,,,
26-May,43-5,15,40,37,38,39.75063167,-105.19741,483088,4400099,1880.849609,1882.83,-1.980391,,,,,,,,,,,,,,,,,,
26-May,43-6,15,33,35,35,39.74956011,-105.1970217,483121,4399980,1875.384155,1880.38,-4.995845,,,,,,,,,,,,,,,,,,
26-May,43-8,0,38,38,44,39.74881391,-105.1960508,483204,4399897,1867.05542,1872.85,-5.79458,,,,,,,,,,,,,,,,,,
27-May,44-1,0,38,38,45,39.75505138,-105.2063499,482323.25,4400591.25,1905.078003,1907.41,-2.331997,,,,,,,,,,,,,,,,,,
27-May,45-1,0,41,42,47,39.75509547,-105.2043451,482495,4400595.75,1904.062866,1907.14,-3.077134,,,,,,,,,,,,,,,,,,
27-May,46-1,0,47,46,51,39.75403784,-105.2011552,482768,4400477.75,1903.80481,1906.91,-3.10519,,,,,,,,,,,,,,,,,,
27-May,47-1,0,39,45,52,39.75403784,-105.2011552,482768,4400477.75,1903.80481,1910.38,-6.57519,,,,,,,,,,,,,,,,,,
27-May,48-1,0,50,68,50,39.7545545,-105.1993736,482920.75,4400534.75,1893.789429,1893.5,0.289429,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
